Years,Population
1897,8000
1923,74 600
1926,117863
1931,180067
1933,278000
1937,360 080
1939,405 297
1956,731 000
1959,885 045
1970,1160963
1973,1221000
1975,1285000
1976,1265000
1979,1312480
1982,1357000	
1985,1357000	
1986,1396000
1987,1423000
1989,1436516
1990,1427000
1991,1446000
1992,1442000
1993,1431000
1994,1418000
1995,1399000	
1996,1397000
1997,1367000
1998,2732245
1999,2734031
2000,2725499
2001,2715128
2002,2703012
2003,2688423
2004,2674155
2005,2665984
2006,2654853
2007,2647195
2008,2642727
2009,2648923
2010,2661594
2011,2666465
2012,2686863
2013,2709461
2014,2731176
2015,2746822
2016,2762237
2017,2779555
2018,2788849
2019,2793384
